result_name,value,unit,area
co2,189754.0,tons,whole model
NOX,721317438.2095733,g,whole model
PM2.5,2304474.224374792,g,whole model
PM10,4608948.448749584,g,whole model
logistic movements,48469336.0,km,whole model
co2,74594.308104,tons,MRA
NOX,276759908.56,g,MRA
PM2.5,874871.5148,g,MRA
PM10,1749743.0296,g,MRA
logistic movements,48469336.0,km,MRA
co2,1845.007065,tons,zuid-oost
NOX,6845347.85,g,zuid-oost
PM2.5,21638.97175,g,zuid-oost
PM10,43277.9435,g,zuid-oost
logistic movements,1198835.0,km,zuid-oost
