result_name,value,unit,area
co2,240120.0,tons,whole model
NOX,1349478306.8351703,g,whole model
PM2.5,17422001.979539976,g,whole model
PM10,34844003.95907995,g,whole model
logistic movements,10644304.0,km,whole model
co2,16381.583856,tons,MRA
NOX,60778975.839999996,g,MRA
PM2.5,192129.68720000001,g,MRA
PM10,384259.37440000003,g,MRA
logistic movements,10644304.0,km,MRA
co2,242.51562,tons,zuid-oost
NOX,899781.8,g,zuid-oost
PM2.5,2844.319,g,zuid-oost
PM10,5688.638,g,zuid-oost
logistic movements,157580.0,km,zuid-oost
