material,tons
biobased,1085954.6239852891
concrete_in-situ,1188918.5304503567
concrete_prefab,252856.04728469515
furnishing_stone,102707.51484127098
glass,767615.5774754577
gravel_sand,56790.559735015464
steel,155372.026545746
timber,1549871.6728146242
