cb_point,cs_point,cb_name,cs_project_name,distance,travel_time
POINT (4.835733091 52.41680441),POINT (4.895168 52.370216),Amsterdam Logistic CityHub,Haut,9131.907,656.8000000000002
POINT (4.835733091 52.41680441),POINT (4.971066 52.310754),Amsterdam Logistic CityHub,Switi,-1.0,-1.0
POINT (4.835733091 52.41680441),POINT (4.903902 52.396051),Amsterdam Logistic CityHub,Stories,9699.584,617.4999999999999
POINT (4.835733091 52.41680441),POINT (4.905431 52.39526),Amsterdam Logistic CityHub,Patch 22,9815.302,633.8
POINT (4.835733091 52.41680441),POINT (4.905919 52.395182),Amsterdam Logistic CityHub,Top-up,9857.358999999999,640.1999999999999
POINT (4.835733091 52.41680441),POINT (4.960025 52.375651),Amsterdam Logistic CityHub,Horizons Amsterdam,16001.666000000001,737.3999999999999
POINT (4.835733091 52.41680441),POINT (4.960025 52.375651),Amsterdam Logistic CityHub,Patchwork,16001.666000000001,737.3999999999999
POINT (4.835733091 52.41680441),POINT (4.960025 52.375651),Amsterdam Logistic CityHub,Hotel Jakarta,16001.666000000001,737.3999999999999
POINT (4.835733091 52.41680441),POINT (4.863074 52.337128),Amsterdam Logistic CityHub,Stepstone,13822.430000000002,711.3000000000003
POINT (4.835733091 52.41680441),POINT (4.877414 52.338001),Amsterdam Logistic CityHub,The Valley,15009.420000000004,793.3000000000003
POINT (4.835733091 52.41680441),POINT (4.837586 52.386348),Amsterdam Logistic CityHub,Lycka,5291.913999999999,407.19999999999993
POINT (4.835733091 52.41680441),POINT (4.960025 52.375651),Amsterdam Logistic CityHub,Justus,16001.666000000001,737.3999999999999
POINT (4.835733091 52.41680441),POINT (4.960025 52.375651),Amsterdam Logistic CityHub,Zo̦p,16001.666000000001,737.3999999999999
POINT (4.835733091 52.41680441),POINT (4.956489 52.323048),Amsterdam Logistic CityHub,World of Food 2.0,21340.760000000002,880.6999999999998
POINT (4.835733091 52.41680441),POINT (4.97222 52.3075),Amsterdam Logistic CityHub,The Ensemble,-1.0,-1.0
