result_name,value,unit,area
co2,52295.0,tons,whole model
NOX,272430852.4491627,g,whole model
PM2.5,3184748.574240229,g,whole model
PM10,6369497.148480458,g,whole model
logistic movements,6035359.0,km,whole model
co2,9288.417501,tons,MRA
NOX,34461899.89,g,MRA
PM2.5,108938.22995,g,MRA
PM10,217876.4599,g,MRA
logistic movements,6035359.0,km,MRA
co2,138.733155,tons,zuid-oost
NOX,514727.95,g,zuid-oost
PM2.5,1627.11725,g,zuid-oost
PM10,3254.2345,g,zuid-oost
logistic movements,90145.0,km,zuid-oost
