year,material,emissions
2023,concrete_in-situ,0.0
2023,gravel_sand,0.0
2023,timber,0.0
2023,steel,0.0
2023,modules,0.0
2024,concrete_in-situ,317.72206323959153
2024,gravel_sand,85.02528718709873
2024,timber,2380.0023977884775
2024,steel,24.892469023636693
2024,modules,807.2820453581284
2025,concrete_in-situ,1205.2644460282454
2025,gravel_sand,263.01236538188095
2025,timber,7712.2027758384365
2025,steel,84.22368300514682
2025,modules,2865.1702322606166
2026,concrete_in-situ,2300.154884093571
2026,gravel_sand,502.3923611571331
2026,timber,13703.955573810377
2026,steel,149.532875739237
2026,modules,4538.413068807171
2027,concrete_in-situ,3495.023477851173
2027,gravel_sand,724.366782229454
2027,timber,20079.8664333739
2027,steel,223.37261833454173
2027,modules,5575.8625925297065
2028,concrete_in-situ,4561.429036222588
2028,gravel_sand,903.8499331555632
2028,timber,25305.924417381633
2028,steel,286.49223452552945
2028,modules,6482.183461364211
2029,concrete_in-situ,5199.0780590859895
2029,gravel_sand,1038.9805511119614
2029,timber,28554.0273763098
2029,steel,325.385778511178
2029,modules,7118.417331722323
2030,concrete_in-situ,5868.089509410427
2030,gravel_sand,1151.6759846291802
2030,timber,31863.714177044185
2030,steel,371.8414851474397
2030,modules,7928.0107272144005
2031,concrete_in-situ,6321.643376317813
2031,gravel_sand,1226.6581239521354
2031,timber,33866.93734110104
2031,steel,402.5318831882749
2031,modules,8426.06737024158
2032,concrete_in-situ,6609.641906862393
2032,gravel_sand,1266.2383056356416
2032,timber,34808.76239827969
2032,steel,420.61968995015667
2032,modules,8426.06737024158
2033,concrete_in-situ,6777.408462921317
2033,gravel_sand,1276.0289167271485
2033,timber,35381.65955639193
2033,steel,433.9298383582454
2033,modules,8426.06737024158
2034,concrete_in-situ,6777.408462921317
2034,gravel_sand,1276.0289167271485
2034,timber,35381.65955639193
2034,steel,433.9298383582454
2034,modules,8426.06737024158
