year,emissions_s2h,emissions_h2c,emissions_s2c,emissions_d2h,emissions_total,emissions_per_material,emissions_glass,emissions_gNOX,emissions_gPM2p5,emissions_gPM10
2023,0.0,0.0,0.0,0,0.0,{},{},0.0,0.0,0.0
2024,11599.949304685475,127.42222608207862,753.6609818564958,0,12481.03251262405,"{'concrete_in-situ': 317.72206323959153, 'concrete_prefab': 276.04805685407206, 'gravel_sand': 159.8908617628326, 'biobased': 1272.108011835656, 'steel': 36.38275065549477, 'glass': 1127.007982321075, 'furnishing_stone': 58.94739048257504, 'timber': 9232.925395472757}",{},63678436.223163664,698357.8845747549,1396715.7691495097
2025,40419.94000006807,414.61051370247213,2576.439348974414,0,43410.98986274495,"{'concrete_in-situ': 1205.2644460282454, 'concrete_prefab': 890.7212168347867, 'gravel_sand': 480.4536861113771, 'biobased': 4011.2657514195944, 'steel': 121.0263183869262, 'glass': 3794.985714964672, 'furnishing_stone': 206.9131197979378, 'timber': 32700.35960920141}",{},251243452.54374248,3382028.2525631133,6764056.505126227
2026,76418.17857729706,798.8678209262521,4905.466834912394,0,82122.51323313572,"{'concrete_in-situ': 2300.154884093571, 'concrete_prefab': 1689.2736939059166, 'gravel_sand': 916.0382569128956, 'biobased': 7609.862413754453, 'steel': 228.84069586109382, 'glass': 7224.307568016927, 'furnishing_stone': 393.06396539780775, 'timber': 61760.971755193066}",{},481245842.2620673,6588824.478942935,13177648.95788587
2027,115405.13491640781,1168.0427468512914,7290.6804133671785,0,123863.85807662629,"{'concrete_in-situ': 3495.023477851173, 'concrete_prefab': 2487.761443714177, 'gravel_sand': 1307.8954918018155, 'biobased': 11166.53722836214, 'steel': 343.14581029353417, 'glass': 10685.90048042461, 'furnishing_stone': 590.2346778417927, 'timber': 93787.35946633702}",{},721875462.2505591,9811056.653850574,19622113.307701148
2028,149729.93999393613,1445.6160307981424,9339.472198430065,0,160515.02822316435,"{'concrete_in-situ': 4561.429036222588, 'concrete_prefab': 3159.6947695534377, 'gravel_sand': 1618.3483926540237, 'biobased': 14123.066979193274, 'steel': 439.1473738684028, 'glass': 13635.326815768176, 'furnishing_stone': 761.6894654026606, 'timber': 122216.32539050172}",{},936664358.7170693,12753007.88250455,25506015.7650091
2029,171101.85058656838,1625.7108846874658,10667.862276539288,0,183395.42374779514,"{'concrete_in-situ': 5199.0780590859895, 'concrete_prefab': 3609.143834505467, 'gravel_sand': 1859.640382947815, 'biobased': 16158.750862772771, 'steel': 501.91122770618574, 'glass': 15567.825165011807, 'furnishing_stone': 868.6779008483945, 'timber': 139630.39631491672}",{},1059263253.9130365,14221828.73341005,28443657.4668201
2030,193784.64243357672,1838.672801531609,11960.996149458333,0,207584.31138456668,"{'concrete_in-situ': 5868.089509410427, 'concrete_prefab': 4038.8711580681584, 'gravel_sand': 2054.0354819797058, 'biobased': 18075.622917855795, 'steel': 568.5327251390934, 'glass': 17460.06002219662, 'furnishing_stone': 980.0248707511084, 'timber': 158539.0746991657}",{},1185489882.5481725,15665914.337613769,31331828.675227538
2031,209060.50003482832,1995.3639934225087,12833.343247599547,0,223889.20727585038,"{'concrete_in-situ': 6321.643376317813, 'concrete_prefab': 4329.779692151879, 'gravel_sand': 2181.9201791298074, 'biobased': 19409.018289277177, 'steel': 614.8511038173133, 'glass': 18754.363411040667, 'furnishing_stone': 1055.9918565514, 'timber': 171221.63936756423}",{},1269653486.709168,16609584.446538731,33219168.893077463
2032,218569.3227028006,2112.8659792433923,13357.536195063043,0,234039.72487710702,"{'concrete_in-situ': 6609.641906862393, 'concrete_prefab': 4502.311820843926, 'gravel_sand': 2245.5824673566635, 'biobased': 20228.6376076867, 'steel': 644.9619263177851, 'glass': 19540.90838897656, 'furnishing_stone': 1103.9486268678197, 'timber': 179163.7321321951}",{},1320600424.3033204,17150558.823240854,34301117.64648171
2033,224323.5317401406,2182.1892136990773,13614.738613828586,0,240120.45956766827,"{'concrete_in-situ': 6777.408462921317, 'concrete_prefab': 4581.957072459037, 'gravel_sand': 2255.3730784481704, 'biobased': 20569.22045787014, 'steel': 663.745486300421, 'glass': 19915.504557907345, 'furnishing_stone': 1131.2217676755272, 'timber': 184226.0286840862}",{},1349478306.8351703,17422001.979539976,34844003.95907995
2034,224323.5317401406,2182.1892136990773,13614.738613828586,0,240120.45956766827,"{'concrete_in-situ': 6777.408462921317, 'concrete_prefab': 4581.957072459037, 'gravel_sand': 2255.3730784481704, 'biobased': 20569.22045787014, 'steel': 663.745486300421, 'glass': 19915.504557907345, 'furnishing_stone': 1131.2217676755272, 'timber': 184226.0286840862}",{},1349478306.8351703,17422001.979539976,34844003.95907995
