year,emissions_s2h,emissions_h2c,emissions_s2c,emissions_d2h,emissions_total,emissions_per_material,emissions_glass,emissions_gNOX,emissions_gPM2p5,emissions_gPM10
2023,0.0,0.0,0.0,0,0.0,{},{},0.0,0.0,0.0
2024,3202.4040227017385,9.772889468503909,402.74735042669045,0,3614.9242625969327,"{'concrete_in-situ': 317.72206323959153, 'gravel_sand': 85.02528718709873, 'timber': 2380.0023977884775, 'steel': 24.892469023636693, 'modules': 807.2820453581284}",{},17672964.28400728,184861.52074539004,369723.0414907801
2025,10624.112958131758,37.48373297244086,1468.2768114101264,0,12129.873502514325,"{'concrete_in-situ': 1205.2644460282454, 'gravel_sand': 263.01236538188095, 'timber': 7712.2027758384365, 'steel': 84.22368300514682, 'modules': 2865.1702322606166}",{},62468256.09318141,722273.9879563885,1444547.975912777
2026,18329.253714813472,62.64780354330693,2802.5472452507074,0,21194.448763607485,"{'concrete_in-situ': 2300.154884093571, 'gravel_sand': 502.3923611571331, 'timber': 13703.955573810377, 'steel': 149.532875739237, 'modules': 4538.413068807171}",{},110528965.41517551,1302576.0891803666,2605152.178360733
2027,25796.817375242077,82.28426899606274,4219.390260080635,0,30098.491904318777,"{'concrete_in-situ': 3495.023477851173, 'gravel_sand': 724.366782229454, 'timber': 20079.8664333739, 'steel': 223.37261833454173, 'modules': 5575.8625925297065}",{},157108570.2049662,1848290.1720013323,3696580.3440026646
2028,31977.01540342884,97.58470984251936,5465.2789693781615,0,37539.87908264952,"{'concrete_in-situ': 4561.429036222588, 'gravel_sand': 903.8499331555632, 'timber': 25305.924417381633, 'steel': 286.49223452552945, 'modules': 6482.183461364211}",{},197150268.94867522,2340192.1941215917,4680384.3882431835
2029,35891.81072158265,106.01976496062957,6238.058610197958,0,42235.88909674124,"{'concrete_in-situ': 5199.0780590859895, 'gravel_sand': 1038.9805511119614, 'timber': 28554.0273763098, 'steel': 325.385778511178, 'modules': 7118.417331722323}",{},221997560.44061312,2637537.5726318066,5275075.145263613
2030,40041.355897280024,122.21049212598385,7019.765494039611,0,47183.331883445615,"{'concrete_in-situ': 5868.089509410427, 'gravel_sand': 1151.6759846291802, 'timber': 31863.714177044185, 'steel': 371.8414851474397, 'modules': 7928.0107272144005}",{},247196137.39128768,2920398.0088331574,5840796.017666315
2031,42562.83446520016,132.70212933070823,7548.30150026995,0,50243.83809480083,"{'concrete_in-situ': 6321.643376317813, 'gravel_sand': 1226.6581239521354, 'timber': 33866.93734110104, 'steel': 402.5318831882749, 'modules': 8426.06737024158}",{},262059523.94368726,3072238.875740056,6144477.751480112
2032,43520.943164573764,134.5062938976374,7875.880212498036,0,51531.32967096944,"{'concrete_in-situ': 6609.641906862393, 'gravel_sand': 1266.2383056356416, 'timber': 34808.76239827969, 'steel': 420.61968995015667, 'modules': 8426.06737024158}",{},268580999.1122097,3143220.691652901,6286441.383305802
2033,44105.34630652717,136.31045846456655,8053.437379648467,0,52295.09414464021,"{'concrete_in-situ': 6777.408462921317, 'gravel_sand': 1276.0289167271485, 'timber': 35381.65955639193, 'steel': 433.9298383582454, 'modules': 8426.06737024158}",{},272430852.4491627,3184748.574240229,6369497.148480458
2034,44105.34630652717,136.31045846456655,8053.437379648467,0,52295.09414464021,"{'concrete_in-situ': 6777.408462921317, 'gravel_sand': 1276.0289167271485, 'timber': 35381.65955639193, 'steel': 433.9298383582454, 'modules': 8426.06737024158}",{},272430852.4491627,3184748.574240229,6369497.148480458
